Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2015,aston martin,ASX,Aston Martin,DB9,143TT1042,0,5.900,DASXV05.9VH1,Car,510,12,AM11/,SA,Semi-Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,3.46,31.0,1,Not eqipped,DASX10022045,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0251000,0.1200000,550.2700000,0.0200000,,0.0033000,0.00240,16.1,MPG,15.8030000,15.1570000,18.6260000,,,,,43.170,0.75020,0.016300,8.350,0.29900,0.019200,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,DB9,143TT1042,0,5.900,DASXV05.9VH1,Car,510,12,AM11/,SA,Semi-Automatic,6,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,3.46,31.0,1,Not eqipped,DASX10022046,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0022000,0.0118000,343.8800000,0.0067000,,,,25.8,MPG,,,,,,,,43.170,0.75020,0.016300,8.350,0.29900,0.019200,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269000,0.5000000,511.9300000,0.0090000,,0.0066000,,17.3,MPG,17.4380000,15.9560000,20.4130000,,99.990000,99.990000,99.990000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008000,0.0600000,296.6300000,0.0010000,,,,29.9,MPG,,,,,99.990000,99.990000,99.990000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6.000,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028338,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0248000,0.6100000,603.4900000,0.0110000,,0.0045000,0.00240,14.8,MPG,14.3210000,13.6920000,17.9080000,,99.990000,99.990000,99.990000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6.000,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028339,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0500000,353.0900000,0.0020000,,,,25.3,MPG,,,,,99.990000,99.990000,99.990000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE,210TT241,0,4.700,BASXV04.7VH2,Car,420,8,AM14/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,3.91,38.6,1,Not eqipped,BASX10011043,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0358000,0.7897000,551.4037000,0.0272000,,,,16.0,MPG,16.3070000,14.5270000,19.5080000,,,,,45.780,0.00080,0.021700,22.050,0.40560,0.023900,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE,210TT241,0,4.700,BASXV04.7VH2,Car,420,8,AM14/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,3.91,38.6,1,Not eqipped,BASX10011044,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0079000,0.3147000,333.2900000,0.0540000,,,,26.5,MPG,,,,,,,,45.780,0.00080,0.021700,22.050,0.40560,0.023900,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE S,270TT244,0,4.700,BASXV04.7VH2,Car,430,8,AM15/,AM,Automated Manual,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,4.18,36.2,1,Not eqipped,BASX10011714,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0289800,0.6490700,529.3600000,0.0078600,,0.0038000,0.00380,16.7,MPG,17.0720000,15.2490000,19.8500000,,,,,45.780,0.00080,0.021700,22.050,0.40560,0.023900,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,V8 VANTAGE S,270TT244,0,4.700,BASXV04.7VH2,Car,430,8,AM15/,AM,Automated Manual,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4000,4.18,36.2,1,Not eqipped,BASX10011715,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003400,0.1417000,306.9500000,0.0000200,,,,28.8,MPG,,,,,,,,45.780,0.00080,0.021700,22.050,0.40560,0.023900,TWC,Three-way catalyst,N,,,N,No averaging
